filename,sumber,nama_toko,tanggal_clean,tanggal_valid,nama_barang,jumlah_barang,harga_satuan,total_harga_item,kategori_harga,bulan,tahun,bulan_tahun,estimasi_laba_20
primer_0029.jpg,primer,Kota Legenda,,False,La Fonte Maca Ay4,2.0,5090.0,10180.0,Murah (5-20rb),,,NaT,2036.0
primer_0029.jpg,primer,Kota Legenda,,False,M/Suka Sup Ayam55,1.0,7790.0,7790.0,Murah (5-20rb),,,NaT,1558.0
primer_0029.jpg,primer,Kota Legenda,,False,Pronas Cls C/B Ch,1.0,5990.0,5990.0,Murah (5-20rb),,,NaT,1198.0
primer_0029.jpg,primer,Kota Legenda,,False,Milo Rtd115,1.0,20990.0,20990.0,Sedang (20-50rb),,,NaT,4198.0
primer_0029.jpg,primer,Kota Legenda,,False,Gillet Foamy Lm,1.0,67990.0,67990.0,Mahal (50-100rb),,,NaT,13598.0
primer_0029.jpg,primer,Kota Legenda,,False,Hi Lo Gold Ch0500,1.0,29990.0,29990.0,Sedang (20-50rb),,,NaT,5998.0
primer_0029.jpg,primer,Kota Legenda,,False,Lux B/W Soft Rose,1.0,27890.0,27890.0,Sedang (20-50rb),,,NaT,5578.0
primer_0029.jpg,primer,Kota Legenda,,False,Plastic Shop.Bag2,1.0,352855.4000000004,451190.0,Sangat Mahal (>100rb),,,NaT,90238.0
primer_0030.jpg,primer,Mamy Poko Opnstd,2015-05-24,True,Sokl In Liq Pink B,1.0,19500.0,19500.0,Murah (5-20rb),5.0,2015.0,2015-05,3900.0
primer_0038.jpg,primer,Shop,2022-04-14,True,Nasi Ayam Geprek,1.0,12000.0,12000.0,Murah (5-20rb),4.0,2022.0,2022-04,2400.0
primer_0038.jpg,primer,Shop,2022-04-14,True,Nasi Ayam Kremes,1.0,15000.0,15000.0,Murah (5-20rb),4.0,2022.0,2022-04,3000.0
primer_0038.jpg,primer,Shop,2022-04-14,True,Nasi Goreng Spesial,1.0,20000.0,20000.0,Murah (5-20rb),4.0,2022.0,2022-04,4000.0
primer_0040.jpg,primer,At Depck Distibusiodo Rayg,2025-01-31,True,Lala Anggur Cup 15L,1.0,19500.0,19500.0,Murah (5-20rb),1.0,2025.0,2025-01,3900.0
primer_0040.jpg,primer,At Depck Distibusiodo Rayg,2025-01-31,True,Dlala Japbu Cup 350,24.0,19500.0,468000.0,Murah (5-20rb),1.0,2025.0,2025-01,93600.0
primer_0040.jpg,primer,At Depck Distibusiodo Rayg,2025-01-31,True,Sukses Hie Gorens Atam Krenes Uae 133R,10.0,343130.0,3431300.0,Sangat Mahal (>100rb),1.0,2025.0,2025-01,686260.0
primer_0040.jpg,primer,At Depck Distibusiodo Rayg,2025-01-31,True,Golda Dglce Latte Rtl 200Hl,1.0,34020.0,34020.0,Sedang (20-50rb),1.0,2025.0,2025-01,6804.0
primer_0042.jpg,primer,Ft.Deeok Distrabusiado Raya,2015-10-20,True,12Cs,1.0,32400.0,32400.0,Sedang (20-50rb),10.0,2015.0,2015-10,6480.0
primer_0042.jpg,primer,Ft.Deeok Distrabusiado Raya,2015-10-20,True,Hilkugnal 200Isi12,1.0,32400.0,32400.0,Sedang (20-50rb),10.0,2015.0,2015-10,6480.0
primer_0046.jpg,primer,Cana,,False,Ncrico,1.0,13000.0,13000.0,Murah (5-20rb),,,NaT,2600.0
primer_0047.jpg,primer,Trre,2022-11-10,True,Eppermint Mocha,1.0,34000.0,34000.0,Sedang (20-50rb),11.0,2022.0,2022-11,6800.0
primer_0047.jpg,primer,Trre,2022-11-10,True,With Skimmed Milk,1.0,4000.0,4000.0,Sangat Murah (<=5rb),11.0,2022.0,2022-11,800.0
primer_0047.jpg,primer,Trre,2022-11-10,True,Iced Mocha,1.0,34000.0,34000.0,Sedang (20-50rb),11.0,2022.0,2022-11,6800.0
primer_0047.jpg,primer,Trre,2022-11-10,True,Es Kopi Susu Tetangga,1.0,20000.0,20000.0,Murah (5-20rb),11.0,2022.0,2022-11,4000.0
primer_0047.jpg,primer,Trre,2022-11-10,True,Iced Caramel Macchiatto,1.0,34000.0,34000.0,Sedang (20-50rb),11.0,2022.0,2022-11,6800.0
